#
# Optical constants of amorphous carbon ACH2
# from Zubko et al. (1996)
# extended to the hard X ray region by V.Z.
#
# wavelength         n - 1             k
#    um
#
2.04050878e-04  -1.02288388e-05  2.99483600e-08
2.04949878e-04  -1.03138984e-05  3.05038724e-08
2.05852838e-04  -1.04078882e-05  3.10569481e-08
2.06759777e-04  -1.05056287e-05  3.16340001e-08
2.07670711e-04  -1.05994551e-05  3.22225542e-08
2.08585659e-04  -1.06908233e-05  3.28085266e-08
2.09504637e-04  -1.07821235e-05  3.34136187e-08
2.10427665e-04  -1.08804097e-05  3.40374120e-08
2.11354759e-04  -1.09775762e-05  3.46584691e-08
2.12285938e-04  -1.10727071e-05  3.52927506e-08
2.13221219e-04  -1.11727966e-05  3.59532034e-08
2.14160621e-04  -1.12722171e-05  3.66107591e-08
2.15104162e-04  -1.13688304e-05  3.72752441e-08
2.16051860e-04  -1.14674382e-05  3.79746612e-08
2.17003733e-04  -1.15663434e-05  3.86710104e-08
2.17959799e-04  -1.16699476e-05  3.93671443e-08
2.18920078e-04  -1.17757288e-05  4.01075127e-08
2.19884588e-04  -1.18830615e-05  4.08446336e-08
2.20853347e-04  -1.19876510e-05  4.15785211e-08
2.21826375e-04  -1.20937446e-05  4.23576431e-08
2.22803689e-04  -1.22028450e-05  4.31382802e-08
2.23785309e-04  -1.23096160e-05  4.39154930e-08
2.24771254e-04  -1.24221377e-05  4.47324381e-08
2.25761542e-04  -1.25321321e-05  4.55594786e-08
2.26756194e-04  -1.26414636e-05  4.63828913e-08
2.27755228e-04  -1.27494742e-05  4.72392721e-08
2.28758663e-04  -1.28680367e-05  4.81152510e-08
2.29766519e-04  -1.29807061e-05  4.89873875e-08
2.30778816e-04  -1.30987747e-05  4.98846902e-08
2.31795572e-04  -1.32162580e-05  5.08118982e-08
2.32816808e-04  -1.33369411e-05  5.17350391e-08
2.33842544e-04  -1.34563895e-05  5.26749812e-08
2.34872798e-04  -1.35748634e-05  5.36567223e-08
2.35907592e-04  -1.36921208e-05  5.46341570e-08
2.36946945e-04  -1.38155179e-05  5.56187760e-08
2.37990877e-04  -1.39400456e-05  5.66579550e-08
2.39039408e-04  -1.40643111e-05  5.76925757e-08
2.40092558e-04  -1.41899663e-05  5.87237037e-08
2.41150349e-04  -1.43185663e-05  5.98239524e-08
2.42212800e-04  -1.44445643e-05  6.09193749e-08
2.43279932e-04  -1.45711874e-05  6.20099924e-08
2.44351765e-04  -1.47001811e-05  6.31644998e-08
2.45428321e-04  -1.48343355e-05  6.43246662e-08
2.46509620e-04  -1.49690343e-05  6.54797436e-08
2.47595683e-04  -1.50987113e-05  6.66893509e-08
2.48686530e-04  -1.52341444e-05  6.79172433e-08
2.49782184e-04  -1.53722184e-05  6.91397496e-08
2.50882665e-04  -1.55091170e-05  7.04071815e-08
2.51987994e-04  -1.56489768e-05  7.17074334e-08
2.53098193e-04  -1.57870741e-05  7.30019818e-08
2.54213284e-04  -1.59251734e-05  7.43298856e-08
2.55333287e-04  -1.60646136e-05  7.57062644e-08
2.56458224e-04  -1.62048548e-05  7.70766057e-08
2.57588118e-04  -1.63463934e-05  7.84675130e-08
2.58722990e-04  -1.64928695e-05  7.99244306e-08
2.59862862e-04  -1.66365628e-05  8.13749575e-08
2.61007756e-04  -1.67866016e-05  8.28316675e-08
2.62157694e-04  -1.69376571e-05  8.43739339e-08
2.63312698e-04  -1.70906976e-05  8.59094353e-08
2.64472792e-04  -1.72405182e-05  8.74382013e-08
2.65637996e-04  -1.73956636e-05  8.90680816e-08
2.66808333e-04  -1.75517964e-05  9.06940605e-08
2.67983827e-04  -1.77116944e-05  9.23129070e-08
2.69164500e-04  -1.78668170e-05  9.40205840e-08
2.70350375e-04  -1.80247148e-05  9.57414880e-08
2.71541475e-04  -1.81833869e-05  9.74548434e-08
2.72737822e-04  -1.83469354e-05  9.92435497e-08
2.73939440e-04  -1.85101229e-05  1.01064566e-07
2.75146351e-04  -1.86755388e-05  1.02877594e-07
2.76358581e-04  -1.88399852e-05  1.04751385e-07
2.77576151e-04  -1.90069344e-05  1.06679269e-07
2.78799085e-04  -1.91757092e-05  1.08598696e-07
2.80027408e-04  -1.93459912e-05  1.10561248e-07
2.81261142e-04  -1.95181245e-05  1.12600899e-07
2.82500311e-04  -1.96915108e-05  1.14631603e-07
2.83744941e-04  -1.98678369e-05  1.16686427e-07
2.84995053e-04  -2.00428073e-05  1.18845020e-07
2.86250674e-04  -2.02207699e-05  1.20994145e-07
2.87511826e-04  -2.03982021e-05  1.23145776e-07
2.88778535e-04  -2.05797665e-05  1.25431264e-07
2.90050824e-04  -2.07615358e-05  1.27706726e-07
2.91328719e-04  -2.09460945e-05  1.29972207e-07
2.92612244e-04  -2.11314373e-05  1.32378102e-07
2.93901424e-04  -2.13224394e-05  1.34785087e-07
2.95196284e-04  -2.15104891e-05  1.37181515e-07
2.96496848e-04  -2.17047118e-05  1.39702384e-07
2.97803143e-04  -2.18971596e-05  1.42250425e-07
2.99115192e-04  -2.20916949e-05  1.44787290e-07
3.00433023e-04  -2.22863450e-05  1.47428021e-07
3.01756659e-04  -2.24859094e-05  1.50124546e-07
3.03086127e-04  -2.26863800e-05  1.52809242e-07
3.04421452e-04  -2.28915324e-05  1.55573821e-07
3.05762661e-04  -2.30937521e-05  1.58424961e-07
3.07109778e-04  -2.33010351e-05  1.61263596e-07
3.08462831e-04  -2.35114999e-05  1.64152220e-07
3.09821845e-04  -2.37234856e-05  1.67153359e-07
3.11186846e-04  -2.39371093e-05  1.70141335e-07
3.12557861e-04  -2.41487411e-05  1.73158180e-07
3.13934917e-04  -2.43668181e-05  1.76348874e-07
3.15318039e-04  -2.45822039e-05  1.79525573e-07
3.16707255e-04  -2.48003585e-05  1.82696073e-07
3.18102592e-04  -2.50218790e-05  1.86071895e-07
3.19504076e-04  -2.52438636e-05  1.89432909e-07
3.20911735e-04  -2.54694092e-05  1.92779181e-07
3.22325596e-04  -2.56961111e-05  1.96322685e-07
3.23745686e-04  -2.59227850e-05  1.99878118e-07
3.25172032e-04  -2.61523786e-05  2.03417954e-07
3.26604663e-04  -2.63862910e-05  2.07128253e-07
3.28043605e-04  -2.66228353e-05  2.10888856e-07
3.29488887e-04  -2.68611178e-05  2.14632963e-07
