#
# Optical constants of organic refractory
# from Li & Greenberg (1997)
# extended to the hard X ray region by V.Z.
#
# wavelength         n - 1             k
#    um
#
1.07065550e-03  -2.68780000e-04  2.77303000e-05
1.08558787e-03  -2.76331000e-04  2.91990000e-05
1.10071815e-03  -2.84087000e-04  3.07456000e-05
1.11605538e-03  -2.92050000e-04  3.23745000e-05
1.13161972e-03  -3.00226000e-04  3.40901000e-05
1.14739099e-03  -3.08618000e-04  3.58960000e-05
1.16337909e-03  -3.17229000e-04  3.77975000e-05
1.17960607e-03  -3.26060000e-04  3.97997000e-05
1.19603857e-03  -3.35114000e-04  4.18962000e-05
1.21272210e-03  -3.44409000e-04  4.40901000e-05
1.22962185e-03  -3.53954000e-04  4.63984000e-05
1.24676133e-03  -3.63749000e-04  4.88355000e-05
1.26414076e-03  -3.73793000e-04  5.14020000e-05
1.28176141e-03  -3.84085000e-04  5.41048000e-05
1.29962848e-03  -3.94623000e-04  5.69492000e-05
1.31774471e-03  -4.05408000e-04  5.99326000e-05
1.33611426e-03  -4.16442000e-04  6.30596000e-05
1.35473853e-03  -4.27747000e-04  6.63117000e-05
1.37362333e-03  -4.39348000e-04  6.96960000e-05
1.39277016e-03  -4.51250000e-04  7.32533000e-05
1.41218517e-03  -4.63458000e-04  7.69927000e-05
1.43186998e-03  -4.75970000e-04  8.09236000e-05
1.45182943e-03  -4.88802000e-04  8.50787000e-05
1.47206689e-03  -5.01935000e-04  8.94742000e-05
1.49258756e-03  -5.15351000e-04  9.41239000e-05
1.51339319e-03  -5.29046000e-04  9.90308000e-05
1.53448924e-03  -5.43019000e-04  1.04194000e-04
1.55587944e-03  -5.57267000e-04  1.09626000e-04
1.57756766e-03  -5.71766000e-04  1.15341000e-04
1.59955782e-03  -5.86496000e-04  1.21314000e-04
1.62185394e-03  -6.01503000e-04  1.27547000e-04
1.64446234e-03  -6.16797000e-04  1.34072000e-04
1.66738519e-03  -6.32368000e-04  1.40920000e-04
1.69062686e-03  -6.48188000e-04  1.48116000e-04
1.71419419e-03  -6.64231000e-04  1.55680000e-04
1.73808957e-03  -6.80415000e-04  1.63634000e-04
1.76231777e-03  -6.96594000e-04  1.71764000e-04
1.78688371e-03  -7.13104000e-04  1.79993000e-04
1.81178984e-03  -7.30089000e-04  1.88569000e-04
1.83704664e-03  -7.47487000e-04  1.97697000e-04
1.86265420e-03  -7.65084000e-04  2.07512000e-04
